"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","4.7u","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"2","C2","1","22 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C3","1","22 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C4","1","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","CON_PANEL1, J2","2","Conn_01x02_Pin","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"6","D1, D2, D_REC1","3","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"7","J1","1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"8","J3","1","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"9","L1","1","1uH","Inductor_SMD:L_Coilcraft_XxL4020",""
"10","R1","1","1.1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"11","R2","1","590","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"12","R3, R4, R9","3","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"13","R5","1","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"14","R6","1","1M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"15","R7","1","402k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"16","R8","1","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"17","TP1, TP2, TP3, TP4, TP5","5","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"18","U1","1","BQ24074RGT","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",""
"19","U2","1","TPS61230DRC","Package_SON:Texas_S-PVSON-N10_ThermalVias",""
